Language,Latitude,Longitude,Divisions(Each Language),Teachers,School Code,School Name,School Type,Slno,Standards,Strength(Each Language),School Type
"MALAYALAM,ENGLISH",9.975943,76.278635,"6,25",53,26037,St. Teresa`s C.G.H.S.S. Ernakulam,A,33,5 to 10,"179,1574",HS
MALAYALAM,9.994813,76.287313,4,4,26233,Union L.P.S. Thrikkanarvattom,A,34,1 to 4,26,LP
"MALAYALAM,ENGLISH",9.822871,76.27299,"8,5",14,26327,St. Mary`s L.P.S. Chellanam,A,35,1 to 4,"284,177",LP
"MALAYALAM,ENGLISH",9.871705,76.266314,"4,4",8,26329,St. Antony`s L.P.S. Kannamaly,A,36,1 to 4,"60,71",LP
MALAYALAM,9.921208,76.250628,4,4,26314,St. Michael`s. L.P.S. Manachery,A,37,1 to 4,42,LP
MALAYALAM,9.963548,76.241495,4,4,26307,St. Francis Church. L.P.S. Fortcochi,A,38,1 to 4,42,LP
MALAYALAM,9.90883,76.280111,17,20,26341,St. Antony`s U .P.S. Palluruthy,A,39,1 to 7,501,UP
"MALAYALAM,ENGLISH",9.938491,76.249596,"10,19",41,26105,Loretto A.I.H.S. Saudi,A,40,1 to 10,"318,847",HS
MALAYALAM,9.871758,76.265755,14,25,26004,St. Mary`s H.S. Kannamaly,A,41,5 to 10,439,HS
"MALAYALAM,ENGLISH",9.96525,76.244354,"16,16",52,26015,Fathima Girls H.S. Fortcochin,A,42,5 to 10,"799,900",HS
"MALAYALAM,ENGLISH",9.934044,76.265437,"13,9",25,26054,St. Sebastian`s H.S.S. Palluruthy,A,43,5 to 10,"494,413",HS
MALAYALAM,9.959171,76.252164,4,7,26303,G.H.S.L.P.S Mattanchery,G,44,1 to 4,12,LP
"MALAYALAM,ENGLISH",9.909199,76.295933,"10,10",20,26090,Govt. H.S. Edacochi,G,45,1 to 10,"139,188",HS
MALAYALAM,10.018573,76.226108,4,4,26516,St. Peter`s. L.P.S. Malippuram,A,46,1 to 4,68,LP
MALAYALAM,10.08666,76.361038,4,5,25215,Asoka L. P. S. Asokapuram,A,47,1 to 4,49,LP
"MALAYALAM,ENGLISH",10.106432,76.318227,"10,2",21,25106,Govt. H. S. West Kadungallur,G,48,1 to 10,"274,37",HS
MALAYALAM,10.115339,76.45398,9,17,25005,Govt. H. S. Mudickal,G,49,1 to 10,117,HS
MALAYALAM,10.115155,76.330135,4,5,25205,Govt. L. P. S. East Kadungalloor,G,50,1 to 4,46,LP
MALAYALAM,10.050781,76.334543,4,5,25209,Govt. L. P. S. Pallilamkara,G,51,1 to 4,15,LP
MALAYALAM,10.122705,76.332766,4,5,25206,Govt. L. P. S. North Kadungalloor,G,52,1 to 4,25,LP
MALAYALAM,10.103062,76.389326,7,11,25251,Govt. U. P. S. Keezhmad,G,53,1 to 7,122,UP
"MALAYALAM,ENGLISH",10.128276,76.301075,"28,28",48,25076,K. E. M. H. S. Alangad,A,54,5 to 10,"1064,1064",HS
MALAYALAM,10.11925,76.417735,3,6,25262,Kerala Varma Sanskrit U. P. S. Thekkumbhagom,A,55,5 to 7,84,UP
MALAYALAM,10.018021,76.348253,6,8,25223,M. A. A. M. Panchayat L. P. S. Kakkanad,A,56,1 to 4,139,LP
"MALAYALAM,ENGLISH",10.092883,76.287402,"7,7",16,25258,Sacred Heart of Jesus U. P. S. Eloor,A,57,1 to 7,"165,228",UP
MALAYALAM,10.085378,76.336606,4,7,25202,S. P. W. Govt. L. P. S. Aluva,G,58,1 to 4,56,LP
"MALAYALAM,ENGLISH",10.112493,76.357804,"19,13",53,25018,St. Francis H. S. S. Aluva,A,59,5 to 12,"1077,763",HS
MALAYALAM,10.083151,76.280597,4,4,25230,St. Mary`s L. P. S. Muttinakkam,A,60,1 to 4,61,LP
"MALAYALAM,ENGLISH",10.145615,76.427347,"4,3",7,25226,St. Mary`s L. P. S. Kanjoor,A,61,1 to 4,"179,158",LP
MALAYALAM,10.188945,76.203423,5,6,25847,Govt. L. P. B. S. Moothakunnam,G,62,1 to 5,79,LP
