Language,Latitude,Longitude,Divisions(Each Language),Teachers,School Code,School Name,School Type,Slno,Standards,Strength(Each Language),School Type
MALAYALAM,10.00542,76.486165,4,5,25620,Govt. L. P. S. South Mazhuvannoor,G,206,1 to 4,29,LP
MALAYALAM,10.003892,76.400155,4,5,25616,Govt. L. P. S. Vempilly,G,207,1 to 4,81,LP
MALAYALAM,10.0177,76.529477,4,5,25618,Govt. L. P. S. Veettoor,G,208,1 to 4,31,LP
MALAYALAM,9.930162,76.431654,4,5,25603,Govt. L. P. S. Attinikkara,G,209,1 to 4,23,LP
MALAYALAM,9.987881,76.442962,4,5,25612,Govt. L. P. S. Pancode,G,210,1 to 4,56,LP
MALAYALAM,9.96493,76.459335,4,5,25605,Govt. L. P. S. Kakkattupara,G,211,1 to 4,19,LP
MALAYALAM,9.977698,76.473049,4,5,25607,Govt. L. P. S. Kolenchery,G,212,1 to 4,25,LP
"MALAYALAM,ENGLISH",9.986017,76.428455,"6,3",12,25631,Govt. L. P. S. Vadavucode,G,213,1 to 5,"211,123",LP
MALAYALAM,9.970506,76.440079,4,5,25613,Govt. L. P. S. Vadayampadi,G,214,1 to 4,31,LP
MALAYALAM,10.027046,76.501934,7,10,25634,Govt. U. P. S. Kunnakurudy,G,215,1 to 7,71,UP
MALAYALAM,10.028356,76.492516,7,10,25638,Govt. U. P. S. North Mazhuvannoor,G,216,1 to 7,89,UP
MALAYALAM,10.056685,76.417544,7,10,25637,Govt. U. P. S. Oorakkad,G,217,1 to 7,103,UP
MALAYALAM,10.025157,76.472324,7,10,25643,Govt. U. P. S. Valampoor,G,218,1 to 7,129,UP
MALAYALAM,10.0412,76.418078,7,11,25641,Govt. U. P. S. Vilangu,G,219,1 to 7,68,UP
MALAYALAM,9.955703,76.435401,7,11,25640,Govt. U. P. S. Kurinji,G,220,1 to 7,52,UP
"MALAYALAM,ENGLISH",9.970006,76.425789,"8,3",16,25635,Govt. U. P. S. Puthencruz,G,221,1 to 7,"171,87",UP
MALAYALAM,9.956348,76.492206,7,10,25639,Govt. U. P. S. Karukappilly,G,222,1 to 7,53,UP
MALAYALAM,9.975164,76.405092,7,11,25636,Govt. U. P. S. Puttumanoor,G,223,1 to 7,71,UP
MALAYALAM,9.976692,76.382388,208,21,25031,Govt. V. H. S. S. Ambalamugal,G,224,1 to 10,198,HS
MALAYALAM,9.986517,76.472016,4,4,25624,L. P. S. Mangattoor,A,225,1 to 4,40,LP
MALAYALAM,9.950172,76.481694,4,4,25627,L. P. S. Thammanimattam,A,226,1 to 4,18,LP
MALAYALAM,10.016258,76.500506,4,4,25617,M. G. M. L. P. S. North Mazhuvannoor,A,227,1 to 4,28,LP
"MALAYALAM,ENGLISH",9.971478,76.427609,"6,3",18,25086,M. G. M. H. S. Puthencruze,A,228,8 to 10,"219,77",HS
MALAYALAM,9.963653,76.466257,7,9,25645,M. M. U. P. S. Kinginimattam,A,229,1 to 7,81,UP
MALAYALAM,10.032791,76.499093,4,5,25601,N. S. S. Govt. L. P. S. Airapuram,G,230,1 to 4,24,LP
"MALAYALAM,ENGLISH",9.985826,76.429204,"14,15",48,25077,Rajarshi Memorial H. S. S. Vadavucode,A,231,5 to 10,"497,561",HS
MALAYALAM,10.033101,76.405123,5,5,25622,St. Antony`s L. P. S. Kizhakkambalam,A,232,1 to 4,169,LP
"MALAYALAM,ENGLISH",10.044401,76.394737,"6,2",10,25623,St. Augustine`s L. P. S. Pazhanganad,A,233,1 to 4,"160,71",LP
"MALAYALAM,ENGLISH",9.947118,76.396173,"12,14",35,25066,St. George`s H. S. Vennikulam,A,234,5 to 10,"503,569",HS
"MALAYALAM,ENGLISH",9.933339,76.408597,"6,5",15,25100,St. John`s J. S. H. S. Kaniattunirappu,A,235,5 to 10,"97,174",HS
"MALAYALAM,ENGLISH",10.019959,76.40153,"22,21",52,25044,St. Mary`s H. S. S. Morakkala,A,236,1 to 10,"877,814",HS
MALAYALAM,9.949147,76.377407,6,7,25625,Sree Narayana L. P. S. Mamala,A,237,1 to 4,184,LP
MALAYALAM,10.036976,76.503682,4,6,25602,St. Paul`s Govt. L. P. S. Airapuram,G,238,1 to 4,33,LP
"MALAYALAM,ENGLISH",9.934164,76.42658,"6,3",15,25065,St. Philomina`s H. S. Thiruvaniyoor,A,239,5 to 10,"179,94",HS
MALAYALAM,9.987869,76.441493,3,5,25646,St. Peter`s U. P. S. Pancode,A,240,5 to 7,27,UP
"MALAYALAM,ENGLISH",9.978964,76.473367,"9,6",25,25047,St. Peter`s V. H. S. And H. S. S. Kolenchery,A,241,5 to 12,"304,152",HS
"MALAYALAM,ENGLISH",10.004565,76.486122,"6,3",9,25642,S. R. V. U. P. S. Mazhuvannoor,A,242,5 to 7,"162,102",UP
"MALAYALAM,ENGLISH",10.009883,76.524055,"6,2",8,25628,St. Thomas L. P. S. Nellad,A,243,1 to 4,"163,77",LP
"MALAYALAM,ENGLISH",10.066769,76.629075,"21,12",54,27029,St. Augustine`s Girls H S S Kothamangalam,A,244,5 to 10,"1118,603",HS
"MALAYALAM,ENGLISH",10.117423,76.488629,"11,7",33,27004,Asram High. Sec. School Perumbavoor,A,245,5 to 10,"369,294",HS
MALAYALAM,10.118185,76.487066,4,5,27246,Asram LPS Perumbavoor,A,246,1 to 4,132,LP
"MALAYALAM,ENGLISH",10.118333,76.480376,"4,4",10,27226,Govt. Boys LPS Perumbavoor,G,247,1 to 4,"81,130",LP
MALAYALAM,10.119319,76.473502,6,9,27227,Govt. Girls LPS Perumbavoor,G,248,1 to 4,173,LP
MALAYALAM,9.984179,76.588051,10,19,28006,Govt. East H S Muvattupuzha,G,249,1 to 10,93,HS
MALAYALAM,9.989832,76.579152,7,10,28420,Govt. Town U PS Muvattupuzha,G,250,1 to 7,65,UP
MALAYALAM,9.996317,76.571477,4,5,28407,Govt. J B S Vazhappilly,G,251,1 to 4,29,LP
MALAYALAM,9.979322,76.576332,3,10,28004,Govt. Model H S Muvattupuzha,G,252,8 to 10,30,HS
MALAYALAM,9.971728,76.570976,7,10,28421,Govt. U P S North Marady,G,253,1 to 7,63,UP
"MALAYALAM,ENGLISH",9.998531,76.587157,"8,4",14,28409,Kavunkara Muslim L P S Muvattupuzha,A,254,1 to 4,"246,179",LP
"MALAYALAM,ENGLISH",9.980657,76.580741,"7,6",13,28410,Little Flower L P S Muvattupuzha,A,255,1 to 4,"233,271",LP
"MALAYALAM,ENGLISH",9.979312,76.578898,"15,6",37,28002,St. Augustine`s Girls H S S Muvattupuzha,A,256,5 to 10,"797,364",HS
"MALAYALAM,ENGLISH",9.984394,76.576237,"11,5",32,28003,S N D P H S S Muvattupuzha,A,257,8 to 10,"466,189",HS
"MALAYALAM,ENGLISH",10.001621,76.602158,"4,4",9,27376,Fathima LPS Karakunnam,A,258,1 to 4,"87,143",LP
MALAYALAM,10.006334,76.60323,13,24,27030,Fr. Joseph Memorial H S S Puthuppady,A,259,5 to 10,417,HS
"MALAYALAM,ENGLISH",10.069748,76.640027,"11,7",17,27319,FJBMUPS Malayinkeezhu,A,260,1 to 7,"386,258",UP
MALAYALAM,10.06213,76.63133,10,17,27040,Govt. H S Ayyankavu,G,261,1 to 10,131,HS
MALAYALAM,10.118041,76.481301,10,22,27006,Govt. H. S.S Perumbavoor,G,262,5 to 10,282,HS
MALAYALAM,10.017842,76.604075,4,6,27332,Govt. LPS Puthuppady,G,263,1 to 4,44,LP
MALAYALAM,10.073098,76.628692,4,5,27329,Govt. LPS Karingazha,G,264,1 to 4,16,LP
MALAYALAM,10.053659,76.655297,5,6,27343,Govt. LPS Maramangalam,G,265,1 to 5,30,LP
MALAYALAM,10.020633,76.59212,4,6,27333,Govt. LPS Venduvazhy,G,266,1 to 4,155,LP
MALAYALAM,10.065616,76.62105,7,11,27306,Govt. UPS Kothamangalam,G,267,1 to 7,116,UP
"MALAYALAM,ENGLISH",10.063596,76.625848,"29,11",63,27021,Mar Basil H S S Kothamangalam,A,268,5 to 10,"1418,509",HS
MALAYALAM,10.064777,76.654996,4,4,27379,Kothamangalam Municipal LPS Valiapara,A,269,1 to 4,21,LP
"MALAYALAM,ENGLISH",10.069433,76.628679,"4,4",8,27359,Sacred Heart LPS Ramallur,A,270,1 to 4,"170,170",LP
MALAYALAM,10.127096,76.477636,4,5,27229,Govt. LPS Kanjirakkad,G,271,1 to 4,36,LP
"MALAYALAM,ENGLISH",10.115878,76.473284,"18,17",56,27007,Govt. H S for Girls Perumbavoor,G,272,5 to 10,"712,737",HS
MALAYALAM,10.109224,76.497981,13,20,27005,Govt. V H S S Iringole,G,273,1 to 10,320,HS
MALAYALAM,9.985326,76.331564,4,4,26431,C.E.Z.M.L.P.S. Thripoonithura,A,274,1 to 4,53,LP
MALAYALAM,9.947595,76.347256,4,5,26408,Govt. L.P.G.S Thripoonithura,G,275,1 to 4,26,LP
"MALAYALAM,ENGLISH",9.947257,76.347762,"9,4",23,26072,Govt. Girls H.S.S. Tripunithura,G,276,5 to 10,"347,141",HS
MALAYALAM,9.952224,76.344709,6,14,26071,Govt. Sanskrit H.S.S. Tripunithura,G,277,5 to 10,37,HS
"MALAYALAM,ENGLISH",9.977586,76.334625,"7,5",18,26438,Govt. K.M.U.P.S. Eroor,G,278,1 to 7,"209,143",UP
MALAYALAM,9.942163,76.345423,7,11,26454,RLV UP School Tripunithura.,G,279,1 to 7,92,UP
MALAYALAM,9.938375,76.351789,7,11,26437,Govt. U.P.S. Thekkumbhagom,G,280,1 to 7,57,UP
"MALAYALAM,ENGLISH",9.94299,76.349499,"3,2",13,26070,Govt. Boy`s H.S.S And V.H.S.S Tripunithura,G,281,8 to 10,"156,78",HS
MALAYALAM,9.977275,76.333205,4,4,26415,K.M.L.P.S.. Eroor,A,282,1 to 4,22,LP
"MALAYALAM,ENGLISH",9.948741,76.342379,"4,2",9,26451,S.H.U.P.S. Kodamkulangara,A,283,5 to 7,"87,72",UP
"MALAYALAM,ENGLISH",9.925728,76.359571,"4,2",7,26427,St. Francis .L.P.S. Puthiyakavu,A,284,1 to 4,"118,63",LP
"MALAYALAM,ENGLISH",9.953965,76.345586,"10,11",25,26447,St. Joseph`s CGUPS Thripoonithura,A,285,1 to 7,"270,579",UP
"MALAYALAM,ENGLISH",9.954736,76.344528,"5,3",8,26421,St. Joseph`s .L.P.S.. Kodamkulangara,A,286,1 to 4,"102,90",LP
"MALAYALAM,ENGLISH",9.944552,76.348105,"6,3",9,26432,St. Mary`s .L.P.S. Thripoonithura,A,287,1 to 4,"160,106",LP
MALAYALAM,9.924907,76.351252,4,4,26428,S.V.L.P.S. Thekkumbhagom,G,288,1 to 4,91,LP
MALAYALAM,10.148288,76.24437,4,6,25813,Govt. K. V. L. P. S. North Paravoor,G,289,1 to 4,24,LP
MALAYALAM,10.152163,76.222829,4,5,25811,Govt. L. P. B. S. North Paravoor,G,290,1 to 4,36,LP
MALAYALAM,10.145253,76.215763,4,5,25815,Govt. L. P. S. Perumpadanna,G,291,1 to 4,55,LP
MALAYALAM,10.14769,76.225708,6,14,25067,Govt. H. S. S. North Paravoor,G,292,5 to 10,106,HS
MALAYALAM,10.147214,76.223528,6,15,25069,Govt. Girls H. S. S. North Paravoor,G,293,5 to 10,141,HS
"MALAYALAM,ENGLISH",10.143349,76.223372,"9,6",25,25070,Samooham. H. S. North Paravoor,A,294,5 to 10,"334,231",HS
"MALAYALAM,ENGLISH",10.144434,76.234632,"32,13",64,25068,Sree Narayana H. S. S. North Paravoor,A,295,5 to 10,"1181,458",HS
"MALAYALAM,ENGLISH",10.136598,76.227221,"26,19",58,25071,S. N. V. Sanskrit H. S. S. North Paravoor,A,296,5 to 10,"1287,819",HS
"MALAYALAM,ENGLISH",10.150327,76.218477,"25,22",67,25091,St. Alosius H. S. North Paravoor,A,297,5 to 10,"855,755",HS
"MALAYALAM,ENGLISH",10.148725,76.220256,"4,4",10,25835,St. Aloysius L. P. S. North Paravoor,A,298,1 to 4,"80,140",LP
"MALAYALAM,ENGLISH",10.149635,76.219748,"4,4",9,25837,St. Paul`s L. P. S. North Paravoor,A,299,1 to 4,"115,146",LP
MALAYALAM,10.143683,76.226382,4,5,25812,Govt. Town Model L. P. S. North Paravoor,G,300,1 to 4,35,LP
MALAYALAM,10.000943,76.37148,4,5,25604,Govt. J. B. S. Brahmapuram,G,301,1 to 4,16,LP
"MALAYALAM,ENGLISH",10.023778,76.444766,"9,5",25,25046,Mar Coorilose Memorial H. S. S. Pattimattom,A,302,8 to 10,"384,201",HS
MALAYALAM,10.001156,76.371493,3,5,25644,U. P. S. Brahmapuram,A,303,5 to 7,37,UP
MALAYALAM,10.007678,76.681125,13,25,27036,St. Mary`s H S Pothanicad,A,304,5 to 10,456,HS
"MALAYALAM,ENGLISH",10.149555,76.477994,"14,3",28,27020,Govt. H .S.S Cheranalloor Koovapady,G,305,1 to 10,"405,84",HS
"MALAYALAM,ENGLISH",10.169552,76.463189,"7,7",16,27211,Church UPS Cheranalloor,A,306,1 to 7,"139,208",UP
MALAYALAM,10.004202,76.663878,6,14,28043,St. John`s H S Pulinthanam,A,307,8 to 10,212,HS
"MALAYALAM,ENGLISH",10.003351,76.653807,"4,4",9,28411,St. Stephen`s L P S Parambenchery,A,308,1 to 4,"69,147",LP
MALAYALAM,10.020516,76.616295,4,5,27349,Govt. LPS Elangavam,G,309,1 to 4,72,LP
MALAYALAM,10.051437,76.63635,4,5,27339,Govt. LPS Kozhippilly,G,310,1 to 4,64,LP
MALAYALAM,10.006083,76.680151,4,5,27346,Govt. LPS Pothanicad,G,311,1 to 4,47,LP
MALAYALAM,10.02806,76.657378,10,21,27037,Govt. V H S S Pallarimangalam,G,312,1 to 10,299,HS
"MALAYALAM,ENGLISH",10.023746,76.646515,"11,19",34,27372,Muslim LPS Myloor,A,313,1 to 5,"370,694",LP
MALAYALAM,10.012123,76.688815,4,4,27375,Mar Thoma LPS Pothanicad,A,314,1 to 4,43,LP
"MALAYALAM,ENGLISH",10.028974,76.627776,"12,6",31,27031,N S S H S S Varappetty,A,315,5 to 10,"477,218",HS
MALAYALAM,10.113211,76.517496,7,10,27259,DIET LAB School Kuruppampady,G,316,1 to 7,102,UP
"MALAYALAM,ENGLISH",10.164879,76.465944,"8,7",18,27212,UPS Edavoor,A,317,1 to 7,"208,293",UP
MALAYALAM,10.162686,76.486669,10,20,27013,Ganapathy Vilasom H S Koovappady,A,318,5 to 10,319,HS
MALAYALAM,10.069526,76.544415,16,29,27012,Govt. H S S Kallil,G,319,1 to 10,501,HS
MALAYALAM,10.174633,76.504387,4,5,27221,Govt. LPS Kurichilakode,G,320,1 to 4,27,LP
MALAYALAM,10.12272,76.538742,4,5,27230,Govt. LPS Puzhucad,G,321,1 to 4,44,LP
MALAYALAM,10.162539,76.502659,4,5,27223,Govt. LPS Akanad,G,322,1 to 4,71,LP
MALAYALAM,10.18389,76.51565,4,5,27220,Govt. LPS Kodanad,G,323,1 to 4,24,LP
MALAYALAM,10.129358,76.570986,4,5,27218,Govt. LPS Mekkappala,G,324,1 to 4,36,LP
"MALAYALAM,ENGLISH",10.151978,76.450753,"4,4",10,27224,Govt. LPS. Okkal,G,325,1 to 4,"87,127",LP
MALAYALAM,10.167648,76.571141,4,5,27225,Govt. LPS Paniely,G,326,1 to 4,34,LP
"MALAYALAM,ENGLISH",10.087088,76.505487,"4,4",9,27228,Govt. LPS Pulluvazhy,G,327,1 to 4,"83,162",LP
MALAYALAM,10.165229,76.535471,4,5,27219,Govt. LPS Vaniappilly,G,328,1 to 4,39,LP
MALAYALAM,10.131788,76.492015,7,10,27201,Govt. UPS Aimury,G,329,1 to 7,104,UP
"MALAYALAM,ENGLISH",10.109437,76.552212,"7,7",18,27203,Govt. UPS Asamannoor,G,330,1 to 7,"182,227",UP
MALAYALAM,10.06009,76.523612,7,10,27204,Govt. UPS Keezhillam,G,331,1 to 7,114,UP
"MALAYALAM,ENGLISH",10.16636,76.551751,"9,3",15,27205,Govt. UPS Kombanad,G,332,1 to 7,"264,66",UP
MALAYALAM,10.133385,76.52392,7,10,27208,Govt. UPS Mudakuzha,G,333,1 to 7,90,UP
"MALAYALAM,ENGLISH",10.088219,76.510162,"14,10",39,27011,Jayakeralam H S S Pulluvazhy,A,334,5 to 10,"574,407",HS
"MALAYALAM,ENGLISH",10.182744,76.517829,"11,7",29,27001,Mar Augen High School Kodanad,A,335,5 to 10,"375,256",HS
MALAYALAM,10.132796,76.486683,7,5,27239,Mary Matha LPS Kaiuthial,A,336,1 to 4,160,LP
"MALAYALAM,ENGLISH",10.112911,76.521014,"16,2",31,27003,M G M H S S Kuruppampady,A,337,5 to 10,"608,82",HS
"MALAYALAM,ENGLISH",10.13908,76.536207,"15,6",36,27015,M K H S S Vengoor,A,338,5 to 10,"522,284",HS
MALAYALAM,10.117393,76.516335,4,4,27236,Mar Thoma LPS Aimury,A,339,1 to 4,18,LP
MALAYALAM,10.053105,76.531337,4,4,27241,Mar Thoma LPS Keezhillam,A,340,1 to 4,96,LP
MALAYALAM,10.138256,76.53859,4,4,27250,Mar Thoma LPS Vengoor,A,341,1 to 4,31,LP
"MALAYALAM,ENGLISH",10.090937,76.490328,"4,4",6,27248,Nirmala LPS Malamury,A,342,1 to 4,"71,156",LP
MALAYALAM,10.117149,76.524252,5,8,27215,Pattom UPS Thuruthy,A,343,5 to 7,126,UP
"MALAYALAM,ENGLISH",10.166901,76.552436,"10,6",30,27018,St. Mary`s H S Krariyely,A,344,5 to 10,"363,183",HS
MALAYALAM,10.181927,76.521965,8,7,27237,SNDP LPS Kodanad,A,345,1 to 4,188,LP
"MALAYALAM,ENGLISH",10.150854,76.4512,"23,29",71,27009,S N H S S Okkal,A,346,5 to 12,"881,1158",HS
"MALAYALAM,ENGLISH",10.110703,76.528602,"5,5",10,27244,St. Rita`a LPS Mudikkarai,A,347,1 to 5,"164,212",LP
MALAYALAM,10.161547,76.474572,4,4,27243,St. George LPS Kudalapadam,A,348,1 to 4,37,LP
"MALAYALAM,ENGLISH",10.052417,76.531396,"7,6",25,27002,St. Thomas H.S.S Keezhillam,A,349,5 to 10,"255,185",HS
MALAYALAM,10.068594,76.284621,12,24,26009,Al Farookhia H.S. Cheranelloor,A,350,5 to 10,385,HS
MALAYALAM,10.059575,76.2671,4,4,26210,Angel Mary Memorial L.PS Chennur,A,351,1 to 4,46,LP
MALAYALAM,10.068182,76.284422,4,6,26205,Govt. L.P.S. Cheranelloor,G,352,1 to 4,68,LP
MALAYALAM,10.030955,76.274675,4,5,26201,Govt. L.P.S. South Chittoor,G,353,1 to 4,28,LP
"MALAYALAM,ENGLISH",10.054326,76.288581,"5,4",10,26212,Little Flower L.P.S. Cheranelloor,A,354,1 to 4,"138,138",LP
"MALAYALAM,ENGLISH",10.055109,76.288417,"4,5",13,26264,Little Flower U.P.S. Cheranelloor,A,355,5 to 7,"136,167",UP
MALAYALAM,10.048326,76.262277,8,11,26257,St. Francis U.P.S. Pizhala,A,356,1 to 7,202,UP
MALAYALAM,10.038442,76.267963,4,4,26225,St. Joseph`s L.P.S. Moolampilly,A,357,1 to 4,41,LP
MALAYALAM,10.030432,76.275489,7,10,26248,St. Mary`s U.P.S. South Chittoor,A,358,1 to 7,211,UP
MALAYALAM,10.011337,76.319961,3,3,25219,Ayyanadu L. P. S. Kakkanad,A,359,1 to 3,4,LP
"MALAYALAM,ENGLISH",10.034399,76.334457,"16,5",36,25088,Cardinal H. S. Thrikkakkara,A,360,5 to 10,"826,353",HS
"MALAYALAM,ENGLISH",10.035563,76.335439,"7,4",13,25236,Darusalam L. P. S. Thrikkakara,A,361,1 to 4,"116,129",LP
MALAYALAM,10.051455,76.344048,4,6,25213,Govt. L. P. S. H. M. T. Colony,G,362,1 to 4,38,LP
"MALAYALAM,ENGLISH",10.045963,76.363665,"7,7",10,25212,Govt. L. P. S. Thrikkakara,G,363,1 to 4,"184,184",LP
MALAYALAM,10.009813,76.335955,7,10,25250,Govt. U. P. S. Kakkanad,G,364,1 to 7,85,UP
MALAYALAM,10.0236,76.370291,7,10,25254,Govt. U. P. S. Thengodu,G,365,1 to 7,78,UP
MALAYALAM,10.056565,76.319919,11,20,25084,Govt. H. S. S And V. H. S. S. Kalamassery,G,366,1 to 10,224,HS
"MALAYALAM,ENGLISH",10.0515,76.343906,"13,6",28,25085,H. M. T. Educational Society H. S. Kalamassery,A,367,1 to 10,"326,240",HS
"MALAYALAM,ENGLISH",10.017354,76.345438,"13,6",34,25029,Mar Athanasius H. S. Kakkanad,A,368,5 to 10,"605,605",HS
MALAYALAM,10.064719,76.331564,4,4,25218,N. A. D. L. P. S. Aluva,A,369,1 to 4,15,LP
MALAYALAM,9.999695,76.351894,4,5,25221,Nazrathul Islam L. P. S. Chittethukara,A,370,1 to 4,75,LP
MALAYALAM,10.043798,76.353521,9,12,25263,Sree Narayana U. P. S. Thrikkakara,A,371,1 to 7,276,UP
MALAYALAM,10.025925,76.322062,4,5,25224,St. Joseph`s L. P. S. Kakkanad,A,372,1 to 4,85,LP
MALAYALAM,9.995089,76.34276,4,4,25238,St. Mary`s L. P. S. Thuthiyoor,A,373,1 to 4,34,LP
MALAYALAM,10.095213,76.669977,16,26,27025,St. Joseph`s H S Velielchal,A,374,1 to 10,383,HS
MALAYALAM,10.060837,76.685145,4,5,27366,St. John`s LPS Nellimattam,A,375,1 to 4,106,LP
MALAYALAM,10.025498,76.824252,4,4,27367,St. Mary`s LPS Neendapara,A,376,1 to 4,56,LP
MALAYALAM,10.134141,76.580671,4,4,27374,St. Mary`s LPS Plamudy,A,377,1 to 4,56,LP
MALAYALAM,10.10098,76.649639,14,25,27026,St. Stephen`s H S S Keerampara,A,378,5 to 12,532,HS
MALAYALAM,10.099103,76.650781,14,23,27028,St. Stephen`s Girls H S Keerampara,A,379,5 to 10,411,HS
MALAYALAM,10.042598,76.66234,5,6,27371,Seethi Sahib Memorial LPS Kodamunda,A,380,1 to 4,113,LP
"MALAYALAM,ENGLISH",10.150101,76.737445,"15,6",35,27023,St. George`s H S S Kothamangalam,A,381,5 to 10,"667,318",HS
MALAYALAM,10.083254,76.675311,4,4,27364,St. Thomas LPS Nadukani,A,382,1 to 4,55,LP
MALAYALAM,10.087732,76.677564,3,6,27320,St. Thomas UPS Nadukani,A,383,5 to 7,47,UP
MALAYALAM,9.875461,76.471301,4,4,28511,Panchayat L P S Edakkattuvayal,G,384,1 to 4,9,LP
MALAYALAM,9.867894,76.437558,7,10,28530,U P S Edakkattuvayal,A,385,1 to 7,48,UP
MALAYALAM,10.106323,76.62531,7,11,27323,Athanickal UPS Pindimana,A,386,1 to 7,70,UP
MALAYALAM,10.07017,76.694229,4,4,27373,BPM LPS Perumannoor,A,387,1 to 4,49,LP
"MALAYALAM,ENGLISH",10.102491,76.637836,"7,7",18,27318,Fathima Matha UPS Malippara,A,388,1 to 7,"192,229",UP
"MALAYALAM,ENGLISH",10.150878,76.664576,"12,7",30,27047,Govt. H S Poika,G,389,1 to 10,"394,174",HS
MALAYALAM,10.000834,76.742866,10,17,27039,Govt. H S S Chathamattom,G,390,1 to 10,125,HS
MALAYALAM,10.10308,76.639042,4,13,27027,T V Joseph Memorial H S Pindimana,A,391,8 to 10,135,HS
MALAYALAM,10.037116,76.806132,7,10,27311,Govt. HWUPS Neriamangalam,G,392,1 to 7,114,UP
MALAYALAM,10.161181,76.74433,4,5,27337,Govt. LPS Kuttiamchal,G,393,1 to 4,29,LP
MALAYALAM,10.041764,76.585897,4,7,27330,Govt. LPS Cheruvattoor,G,394,1 to 4,62,LP
MALAYALAM,10.000004,76.740846,4,5,27331,Govt. LPS Kadavoor,G,395,1 to 4,50,LP
"MALAYALAM,ENGLISH",10.126396,76.583704,"5,5",12,27341,Govt. LPS Kottappady North,G,396,1 to 5,"94,189",LP
MALAYALAM,10.10752,76.585459,5,6,27342,Govt. LPS Kottappady South,G,397,1 to 5,51,LP
MALAYALAM,10.061841,76.719439,4,5,27340,Govt. LPS Manimaruthumchal,G,398,1 to 4,30,LP
MALAYALAM,10.091205,76.668769,4,5,27347,Govt. LPS Palamattam,G,399,1 to 4,26,LP
MALAYALAM,10.107189,76.670087,4,5,27334,Govt. LPS Punnekkadu,G,400,1 to 4,38,LP
MALAYALAM,10.033793,76.630795,4,5,27350,Govt. LPS Varappetty,G,401,1 to 4,28,LP
"MALAYALAM,ENGLISH",10.057902,76.573527,"18,4",36,27035,Govt. Model H S S Cheruvattoor,G,402,1 to 10,"646,129",HS
MALAYALAM,10.118688,76.65935,7,10,27301,Govt. UPS Chenkara,G,403,1 to 7,52,UP
MALAYALAM,10.041352,76.584819,3,8,27303,Govt. UPS Cheruvattoor,G,404,5 to 7,104,UP
MALAYALAM,10.159617,76.646423,7,10,27304,Govt. UPS Edamalayar,G,405,1 to 7,142,UP
"MALAYALAM,ENGLISH",10.074015,76.570377,"8,6",18,27305,Govt. UPS. Kuttilanji,G,406,1 to 7,"266,144",UP
MALAYALAM,10.038376,76.703355,7,10,27314,Govt. UPS Paimattam,G,407,1 to 7,29,UP
"MALAYALAM,ENGLISH",10.115576,76.602004,"7,7",18,27307,Govt. UPS Panipra,G,408,1 to 7,"193,175",UP
MALAYALAM,10.100303,76.64288,7,10,27302,Govt. UPS Pindimana,G,409,1 to 7,35,UP
MALAYALAM,10.049928,76.753443,7,11,27313,Govt. UPS Thalacodu,G,410,1 to 7,80,UP
MALAYALAM,10.049692,76.784917,14,27,27034,Govt. V H S S Neriamangalam,G,411,1 to 10,330,HS
MALAYALAM,10.104443,76.635106,4,4,27378,Josephine LPS Vettampara,A,412,1 to 4,43,LP
"MALAYALAM,ENGLISH",10.051414,76.716058,"15,7",37,27033,L F H S Oonnukal,A,413,5 to 10,"612,322",HS
"MALAYALAM,ENGLISH",10.051007,76.744862,"8,4",13,27368,Little Flower LPS Oonnukal,A,414,1 to 4,"264,177",LP
MALAYALAM,10.064745,76.601956,8,9,27365,LPS Elampra,A,415,1 to 4,203,LP
MALAYALAM,10.028441,76.688892,4,5,27358,LPS Koovalloor,A,416,1 to 4,38,LP
MALAYALAM,10.037835,76.696517,4,5,27363,LPS Valachira,A,417,1 to 4,97,LP
"MALAYALAM,ENGLISH",10.11255,76.620202,"8,3",23,27045,M D H S Tholely Ayroorpadam,A,418,8 to 10,"306,68",HS
"MALAYALAM,ENGLISH",10.126313,76.583826,"24,9",50,27044,Mar Elias H S S Kottappady,A,419,5 to 10,"1029,442",HS
MALAYALAM,10.100846,76.65937,4,4,27356,Mar Stephen`s LPS Keerampara,A,420,3 to 4,107,LP
MALAYALAM,10.1081,76.587351,4,5,27361,Mar Thoma LPS Panipra,A,421,1 to 4,49,LP
MALAYALAM,10.101624,76.661084,2,2,27357,Mar Thoma LPS Keerampara,A,422,1 to 2,40,LP
MALAYALAM,10.057605,76.697344,4,5,27355,Our Lady of Mount Carmel LPS Kavalangad,A,423,1 to 4,100,LP
MALAYALAM,10.073451,76.590441,8,11,27326,Panchayath UPS Nellikuzhy,G,424,1 to 7,191,UP
MALAYALAM,10.031038,76.639143,4,5,27377,St. Antony`s LPS Inchoor,A,425,1 to 4,43,LP
MALAYALAM,10.143139,76.712065,3,5,27322,St. Antony`s UPS Njayappilly,A,426,5 to 7,34,UP
MALAYALAM,9.995024,76.755508,4,4,27354,St. George`s LPS Kadavoor,A,427,1 to 4,25,LP
MALAYALAM,9.988726,76.756294,4,4,27370,St. George`s LPS Kulappuram,A,428,1 to 4,7,LP
"MALAYALAM,ENGLISH",9.899598,76.386752,"4,2",7,26424,C.G.L.P.S. Mulanthuruthy,A,429,1 to 4,"132,62",LP
MALAYALAM,10.102641,76.634558,7,10,27316,UPS Uppukandam,A,430,1 to 7,110,UP
